项目	题号	任务类型	功能点关键词	日期
01	1	Feature迭代	备料清单：按长度×侧别汇总、来源标注、文本/TSV 复制、非法方案点名	09-10
01	2	Bug修复	静态资源 404 / 坏 JSON 400 状态码、路径越界与目录守卫	09-10
01	3	Feature迭代	编圈体检：张力比 / 长度差 / 越界 / 偏距 / 交叉数阈值与等级排序	09-11
01	4	Feature迭代	备料步进与取整方式设置、五处长度口径统一	09-11
01	5	0-1代码生成	辐条库存与补货模块（增删改查 + 缺口对照 + 整包建议）	09-12
01	5（第 2 轮）	Feature迭代	库存低库存线（按长度、默认 5 根）+ 低于线标黄与顶部提醒 + 缺口表品牌明细	09-12
01	6	0-1代码生成	报价模块（单价表：轮圈/花鼓/工时 + 辐条按品牌长度；按备料清单算报价与合计、复制报价文本）	09-12
01	7	0-1代码生成	编圈工序向导（按孔数/交叉生成步骤清单、勾选进度存服务端、复制整份步骤、重置进度）	09-12
01	8	Bug修复	服务端写入串行化（并发添加库存/单价/工序进度丢更新、数据文件被写串导致 500）	09-12
01	9	0-1代码生成	数据备份与恢复（四类数据打包导出 JSON、导入前校验并逐项报错、只补不覆盖/整份替换两种模式、导入后各面板刷新）	09-12
01	10	Bug修复	内联数字输入框空值/非数字被当成 0 保存（库存数量、低库存线、辐条单价 → 恢复原值并提示）	09-12
01	11	Feature迭代	报价按方案拆分（每方案独立行项与合计 + 整单汇总视图切换，页面明细与复制文本同源）	09-12
01	12	Bug修复	禁用弹窗环境里保存预设/加入对比无反应（window.prompt 失效 → 页面内命名对话框 + 名称归一化）	09-12
02	1	0-1代码生成	直流电缆选型与压降校核（两极回路电阻/压降/线损、2%/3% 两档判定、按允许压降反推推荐截面 + 电缆面板）	09-12
02	2	Feature迭代	电缆与电气校核联动（自动取组串高温工作电压/每路工作电流、手填可覆盖、超容差不一致提示）	09-12
02	3	0-1代码生成	造价与收益测算模块（单位造价/运维费率/电价 → 逐年现金流、静态回收期插值、25 年 LCOE + 经济性面板）	09-12
02	4	Feature迭代	排布间距双口径（冬至日正午 / 9:00–15:00 按太阳时角取阴影南北分量、GB 50797 系数式交叉校验 + 前端口径切换与示意图/容量联动）	09-12
02	5	0-1代码生成	支架与基础选型模块（GB 50009 风/雪荷载标准值、立柱/檩条/基础选型建议尺寸、抗倾覆与抗滑移判定 + 支架面板）	09-12
03	1	0-1代码生成	今夜拍摄排程模块（按优先级贪心排布 + 换目标/换滤镜开销 + 未排入原因清单 + 甘特时间线与利用率面板）	09-12
03	1（第 2 轮）	Bug修复	排程让位重排（按优先级接纳 + EDD 整体重排 + 2 万节点受限回溯）+ 未排入原因改真实空档并点名占用目标	09-12
03	2	0-1代码生成	器材齐套模块（光路链路长度累加 + 标准转接环组合建议 + 接口对接/载重余量校核 + 导星采样比 + 器材编辑面板）	09-12
03	2（第 2 轮）	Bug修复	调焦行程口径对称化（不足 0.5mm 双向吸收，消除「需要加环但组合为空」与超长误判）	09-12
03	2（第 3 轮）	Feature迭代	按现有器材反推搭配（可选件池子集搜索 + 多重集去重 + 凑不出时点卡点 + 候选方案卡片与累加表）	09-12
03	2（第 4 轮）	Feature迭代	反推方案纳入载重评估（整套重量含导星、超重排最后并标注、全部超重提示、无余量时保持原行为）	09-12
04	1	0-1代码生成	预处理与加药模块（SDI/浊度/余氯/铁锰限值判定、阻垢剂 2–5 mg/L 分级 + 还原剂按余氯 3 倍 + 加酸反推目标碱度、下调回收率反算 + 独立面板与接口）	09-12
04	1（第 2 轮）	Bug修复	加药量表口径拆分（纯品 mg/L、kg/d 与 10%/30% 商品溶液口径分列，按质量分数与泵流量闭环并以测试钉住）	09-12
04	1（第 3 轮）	Feature迭代	加药站配置（药箱容积按一周备药 + 20% 余量靠标准规格、药剂与水稀释比例、计量泵量程按需求 + 25% 余量选型；并入 stations 字段与面板）	09-12
dl_01	1	0-1代码生成	配气与充气计划（瓶内余气按分压混合、纯氧部分压力法 / 空气直充按 40% 分档、充气步骤表 + 最终成分偏差 + 纯氧/氦/空气用量）	09-12
dl_01	2	0-1代码生成	潜点库与计划匹配（字段校验 + 服务端增删改查 + 按难度筛选、一键套用推荐气体与建议底部时间、四类匹配结论：MOD 覆盖/深度超限/免减压余量/气体不一致）	09-13
dl_01	3	0-1代码生成	多气源计划（多瓶配置底部气/减压气、切换深度按氧分压上限反算并取整、逐瓶分段气量分配与剩余、缺底部气/MOD 不够/气量缺口逐条点名）	09-13
dl_01	4	0-1代码生成	实际剖面复盘（实际深度时间点位录入、与计划剖面的双曲线对照图与逐段偏差表、四条结论：上升速率超限/超深/安全停留/免减压余量）	09-13
dl_01	5	Feature迭代	多段剖面免减压折算（按段环境压力比折算等效时间、面板给等效底部时间与逐段系数及与直接相加的差值、单段保持一致）	09-13
dl_01	6	Feature迭代	沿剖面氧暴露累计（按段平均深度取氧分压逐段累计 CNS/OTU、贡献最大段、超 1.6 bar 逐段点名、80%/100% 分级与余量）	09-13
dl_01	7	Feature迭代	配重多套装备组合对比（逐套复用 planRig 同一口径、逐套给建议配重与余气安全停留净浮力与最大深度需充气量、三类问题点名哪一套差多少、配重组合卡片 + POST /api/rig/compare + 逐套结论表）	09-13
dl_01	8	0-1代码生成	重复潜水与水面间隔（残余氮四档分级、水面间隔四档衰减、残余氮时间按下一潜深度极限乘比例、等效底部时间对照极限给余量与必须减压、页面逐潜录入与校核表）	09-13
dl_01	9	Feature迭代	剖面逐段浮力校核（按阶段给潜水服浮力与气体重量与净浮力与所需充气量、净浮力最负最正段定位、从最深处升到水面要泄掉的气量、配重口径与无剖面行为不变）	09-14
dl_01	10	Feature迭代	浮力补偿用气计入气量规划（逐段推演 BCD 充泄气量、按段环境压力折成瓶压消耗、给出计入前后剩余压力差与占比与是否提前折返、默认关闭时结果与原来逐字段一致）	09-14
dl_01	11	0-1代码生成	减压停留阶梯与上升计划（超出免减压极限按 5/10/20 分钟四档给逐级停留、深水 30/40 米每级加时、各级上升速率封顶、总上升时间与上升段耗气、免减压剖面不出阶梯）	09-14
dl_01	12	Feature迭代	装备库开放自定义潜水服（名称与表面浮力与两个压缩率、页面表单与装备库列表、服务端读写与内置只读、配重校核与完整计划按同一套插值口径选用、引用中的那套删除时拦下并点名、重名与越界与删内置与删不存在的中文说明）	09-14
dl_01	13	Bug修复	修删除占用保护（新增 POST /api/gear/active-suit 记录当前选用并持久化到 data/gear.json，删除时按持久化的选用拦 409 并点名，重启后仍拦、只选中没计算也拦、切到内置即释放）	09-14
dl_02	1	0-1代码生成	空气处理机组选型与处理过程校核（混风状态、表冷冷量与除湿量、机器露点与接触系数、再热与加湿量、风机温升反推送风、功能段顺序清单 + 最小新风/风量平衡/送风温度三类提示）	09-13
dl_02	1（第 2 轮）	Bug修复	两张卡片参数各存一份（人数/劳动强度/每人新风量双向同步、新风量按新风方式解算回填、城市海拔带进机组计算 + /api/ahu/select 支持 cityKey 与气压取值优先级）	09-13
dl_02	1（第 3 轮）	Bug修复	机组卡未跟随城市与室内设置（海拔填 0 按海平面、留空回落城市的三分支 + 新风状态按城市夏季干湿球反算相对湿度带出、回风状态按室内设计参数带出）	09-13
dl_02	2	0-1代码生成	冷却水系统设计（冷凝热与循环水量、进出塔水温、蒸发/排污/飘损与总补水量与补水率、冷却水泵扬程与功率、冷却塔风机风量与功率 + 逼近度/浓缩倍数/补水率三类提示）	09-13
dl_02	3	0-1代码生成	水系统定压补水与膨胀（末端形式估水容量、密度差膨胀水量与有效膨胀容积、定压点压力、补水泵流量与扬程、玻意耳定律膨胀罐总容积与预充压力、小时补水率 + 罐容积/补水率两条提示）	09-13
dl_02	4	Feature迭代	房间冷负荷逐时曲线（按朝向 24 小时太阳系数分摊外窗太阳得热、人员/照明/设备按使用时段与逐时系数分摊、逐时总量与峰值时刻与峰值与同时系数、时段外记 0、非法时段 400 + 前端时段卡与 24 柱曲线面板）	09-13
dl_02	4（第 2 轮）	Bug修复	逐时围护传热口径修正（外墙与屋面温差传热改为全天恒定计入、只有玻璃太阳得热按逐时系数分摊；补夜间总负荷与围护分项回归用例）	09-13
dl_02	5	Feature迭代	多环路水力平衡（按环路流量与管段算阻抗与阻力、最不利环路与富余压头、平衡阀 Kv 反算与 DN15~DN200 选型及 1~8 档预设定、偏差 15% 与阀耗压 50kPa 两类提示 + 前端可增删环路的结果表）	09-13
dl_02	6	Feature迭代	内外遮阳与综合太阳得热修正（城市库补纬度、按纬度与年积日算太阳高度角与方位角、按外挑长度与离墙距离与安装高度算外遮阳系数、乘内遮阳得综合系数替换手填值并给各朝向修正前后得热与冷负荷变化 + 五条遮阳提示与前端明细面板）	09-14
dl_02	7	0-1代码生成	保冷层厚度与防结露校核（圆管与矩形风管与平壁三种几何的保温热阻、表面温度、环境露点、单位长度或面积冷损失、按露点加 0.5 度反算最小厚度、材料库四种保冷材料与自定义导热系数 + 两条提示与前端面板）	09-14
dl_02	8	Feature迭代	水泵变频工况点与相似定律（额定泵曲线按 1.25 倍零流量扬程与跌落系数、按相似定律缩放后与管网静扬程加阻抗乘流量平方联立求工况点、按目标流量反算转速比与相对工频节流的节电率 + 转速比 0.5 与偏离高效区 20% 两条提示，接口级交付）	09-14
dl_02	9	0-1代码生成	冷热源方案与全年能耗对比（逐月负荷率与部分负荷性能曲线三系数、离心机加燃气锅炉／风冷热泵／地源热泵三方案逐月能耗与运行费与全年费、相对基准方案节能率、负荷率 25% 或 100% 两条提示）	09-14
dl_03	1	0-1代码生成	无线频率协调（设备清单增删、三阶互调 2f1−f2 与 2f2−f1 命中标注并点名组合、同频与频带重叠冲突、±3 MHz 移频建议、备用频率校验 + 频点分配表／互调干扰表／调整建议面板）	09-13
dl_03	2	Feature迭代	多灯位逐点照度校核（灯位位置／水平转角／俯角、半米网格逐点叠加、最小最大平均与均匀度、最暗点、越界与溢光点名、盲灯提示 + 灯位清单表与照度分布网格表）	09-13
dl_03	3	0-1代码生成	DMX 编址与通道表（每路 512 通道、固定地址冻结不动、通道段不跨路、按段长从长到短填空档占路最少、重叠冲突点名两台灯、排不下报最大空档与缺口、灯具增删接口 + 分路通道表面板）	09-13
dl_03	4	Feature迭代	分步上电与浪涌校核（负载类型默认启动倍数、投运延时分步、每步冲击加已运行稳态的相电流、配电箱容量与发电机 2 倍 5 秒冲击上限双校核、超限点名步骤与安数、峰值负载单独占一步建议 + 分步表面板）	09-13
dl_03	5	0-1代码生成	返送监听稳定余量校核（每路返送记话筒数量与指向性、话筒到发言人与到音箱两个距离、灵敏度与功率、音箱到演员距离与目标监听声压；反馈前增益按距离比取对数加指向性补偿、每多一只同类话筒扣 3dB、再减达到目标声压所需增益得稳定余量，低于 6dB 提醒、低于 0 不通过并点名话筒离音箱太近／话筒开太多／监听音量太高，给音箱移远米数或降声压分贝二选一建议 + 返送清单表与稳定余量表与建议面板）	09-13
dl_03	5（第 2 轮）	Bug修复	返送清单与结果、持久化三处一致（空清单不再回退内置两路演示、服务端返 400 且页面渲染先添加返送提示；新增 PUT /api/monitors/:id 把表格改过的参数存回服务端并用归一化值同步本地；添加与移除后调用 refreshMonitorResults 让结果跟着重算）	09-13
dl_03	6	Feature迭代	房间声学空气吸收与温湿度修正（按 ISO 9613-1 算空气衰减系数、按 m=alpha·ln10/10 换奈培/米进含空气项的赛宾公式，输出 125~4000Hz 六频段修正前后 RT60／差值／下降幅度，>10% 频段提醒并高亮；温湿度留空按 20℃/50% 并注明缺省；声学面板两张表 + 越界 400）	09-14
dl_03	7	0-1代码生成	扬声器阵列吊挂与覆盖校核（箱数／单只垂直覆盖角／挂高／吊点到舞台中心与后排距离／观众区纵深与坐席耳高，按观众区张角等分排俯角，逐只给主轴落点与听声面覆盖上下边界与相邻重叠角，扫掠求覆盖层数与平均重叠角，空档判不通过、重叠超单只覆盖角一半判提醒并点名哪两只之间，给张角／挂高／箱数三类数值建议 + 阵列清单与落点覆盖表面板）	09-14
dl_04	1	0-1代码生成	燃油与赛段策略（实测或按赛道估算每圈油耗、分段圈序与段末油量、加油量与最少进站次数、燃油重量的圈速增量 + 箱容上限/余量不够/跑不完三类点名）	09-12
dl_04	1（第 2 轮）	Bug修复	燃油分段无解判定（安全余量与固定段长超箱容时返回 feasible=false 与空分段表、点名超限项与上限；面板只显示结论不再出表）	09-12
dl_04	1（第 3 轮）	Bug修复	当前油量低于一圈油耗的补判（返回 feasible=false 与最低所需油量、边界不放宽也不误杀，面板只显示结论）	09-13
dl_04	2	0-1代码生成	圈速与分段计时分析（理论最佳圈与来源圈、每圈对参考/理论最佳的差值、分段累计损失排名、最小二乘退化斜率、连续三圈最快稳定圈 + 缺段/段数不符/非正数点名）	09-13
dl_04	3	Feature迭代	换挡点建议（简化扭矩曲线与交叉点二分解、每挡最佳换挡转速区间、升挡前后轮上驱动力差、加速取向与极速取向两个推荐换挡点 + 交叉点超红线/升挡掉出扭矩区间点名）	09-13
dl_04	3（第 2 轮）	Bug修复	换挡提示口径统一（交叉点按整数转速比较、压线不点名；shift-drop 与 shift-window-drop 合并成一条并统一到建议换挡点口径）	09-13
